intent,question,answer
current_account_info,What is a current account?,"A current account is a bank account designed for frequent transactions, primarily for businesses and individuals who need regular deposits, withdrawals, payments, and cheque facilities."
current_account_info,Tell me about current accounts,"Current accounts are transaction-focused accounts that provide easy access to funds, cheque books, overdraft options, and business banking services."
current_account_info,How does a current account work?,"A current account allows unlimited or high-volume daily transactions, including deposits, withdrawals, transfers, cheque payments, and business operations."
current_account_info,Current account information,"A current account is suitable for managing regular financial transactions and often includes cheque books, debit cards, online banking, and overdraft facilities."
current_account_info,What are the benefits of a current account?,"Current accounts offer frequent transaction capability, business payment support, overdraft options, cheque issuance, and digital banking access."
current_account_info,Why should I open a current account?,A current account is useful for managing business or high-volume personal transactions efficiently with flexible banking services.
current_account_info,How to open a current account?,"To open a current account, choose a bank, submit identity and business/personal documents, complete KYC verification, and meet minimum deposit requirements."
current_account_info,What documents are required for current account opening?,"Banks usually require NIC/passport, proof of address, completed application, and for businesses, registration documents and tax details."
current_account_info,Can I open a current account online?,"Some banks allow online current account applications, subject to identity verification and regulatory compliance."
current_account_info,Minimum balance for current account?,"Minimum balance requirements vary by bank and account type, often higher than savings accounts."
current_account_info,Current account opening deposit,Initial deposit requirements depend on the selected bank and current account package.
current_account_info,Current account fees,"Current accounts may include maintenance fees, transaction charges, cheque processing fees, or overdraft charges depending on the bank."
current_account_info,Does current account earn interest?,Most current accounts offer little or no interest because they are designed for transactions rather than savings.
current_account_info,Difference between savings and current account,"Savings accounts focus on saving and earning interest, while current accounts prioritize frequent transactions and business use."
current_account_info,Can businesses open current accounts?,"Yes, current accounts are commonly used by businesses for operational banking and financial management."
current_account_info,Can individuals open current accounts?,"Yes, individuals with frequent transaction needs may also open personal current accounts."
current_account_info,Current account overdraft facility,"Many current accounts offer overdraft services, allowing temporary withdrawal beyond available balance, subject to approval."
current_account_info,Cheque book for current account,Current accounts typically include cheque book facilities for business and large-value transactions.
current_account_info,Online banking for current account,Most banks provide online and mobile banking for current account management.
current_account_info,ATM card for current account,Current accounts often include debit or ATM cards for cash withdrawals and payments.
current_account_info,How to close a current account?,"To close a current account, contact your bank, settle pending fees, withdraw funds, and submit closure instructions."
current_account_info,Can foreigners open current accounts?,Many banks allow non-residents or foreign businesses to open current accounts with additional compliance requirements.
current_account_info,Joint current account details,Banks may offer joint current accounts for shared business or personal financial management.
current_account_info,Current account security,"Banks protect current accounts through KYC, fraud monitoring, secure online banking, and transaction alerts."
current_account_info,Best current account for business,"The best current account depends on transaction needs, fees, overdraft availability, and business banking services."
