intent,question,answer
greeting,Hello,Hello! Welcome to BankAssist AI. How can I assist you with your banking needs today?
greeting,Hi,Hi there! Welcome to BankAssist AI. How may I help you today?
greeting,Hey,Hey! Welcome to BankAssist AI. How can I support your banking needs?
greeting,Good morning,Good morning! Welcome to BankAssist AI. How may I assist you today?
greeting,Good afternoon,Good afternoon! Welcome to BankAssist AI. How can I help you today?
greeting,Good evening,Good evening! Welcome to BankAssist AI. How may I assist you today?
greeting,Ayubowan,Ayubowan! Welcome to BankAssist AI. How can I assist you today?
greeting,Kohomada,Hello! I'm here to help with your banking questions.
greeting,How are you,I'm doing great! How can I help you with your banking needs today?
greeting,Is anyone there,Yes! BankAssist AI is here to help you.
greeting,Can you help me,Of course! Please tell me your banking question.
greeting,I need banking help,Sure! Please let me know how I can assist you.
greeting,Welcome,Welcome to BankAssist AI! How may I help you?
greeting,Greetings,Greetings! How can I support your banking needs today?
greeting,Good day,Good day! Welcome to BankAssist AI.
greeting,Hi bank assistant,Hello! How can I assist you today?
greeting,Hello bank,Hello! Welcome to BankAssist AI.
greeting,Need support,I'm here to help! Please ask your question.
greeting,Support please,Sure! What banking assistance do you need?
greeting,Start chat,Welcome! How may I assist you today?
