intent,question,answer
account_types_info,What types of bank accounts are available?,"Banks typically offer savings accounts, current accounts, fixed deposits, joint accounts, youth/student accounts, senior citizen accounts, and specialized business accounts."
account_types_info,Different types of bank accounts,"Common account types include savings, current, fixed deposit, recurring deposit, business, student, and foreign currency accounts."
account_types_info,What is a savings account?,"A savings account is designed for secure money storage while earning interest, suitable for personal savings."
account_types_info,What is a current account?,A current account supports frequent transactions and is commonly used by businesses or individuals with high transaction volumes.
account_types_info,What is a fixed deposit account?,A fixed deposit account allows you to deposit money for a fixed period to earn higher interest rates.
account_types_info,What is a recurring deposit account?,A recurring deposit account allows regular monthly deposits over a fixed term for disciplined savings growth.
account_types_info,What is a joint account?,A joint account is shared by two or more individuals for combined financial management.
account_types_info,Student account information,Student accounts are designed for young adults or students with lower fees and reduced balance requirements.
account_types_info,Youth savings account,Youth accounts help minors or young customers save with guardian oversight when necessary.
account_types_info,Senior citizen bank account,"Senior citizen accounts may offer preferential rates, lower fees, or specialized banking benefits."
account_types_info,Business account types,"Businesses may use current accounts, merchant accounts, payroll accounts, or specialized SME banking products."
account_types_info,Foreign currency account,Foreign currency accounts allow holding and transacting in international currencies.
account_types_info,NRFC account details,Non-Resident Foreign Currency accounts are designed for expatriates or foreign income earners.
account_types_info,Can I have multiple bank accounts?,"Yes, customers can typically maintain multiple account types depending on their financial needs."
account_types_info,Best account type for saving money,Savings accounts and fixed deposits are generally best for personal saving goals.
account_types_info,Best account for business transactions,Current accounts are usually best for business and frequent transaction needs.
account_types_info,Which account gives highest interest?,Fixed deposit accounts often provide higher interest rates than standard savings accounts.
account_types_info,Zero balance account types,Some banks offer zero-balance savings or digital accounts with limited service conditions.
account_types_info,Premium banking account,"Premium accounts may provide enhanced services, relationship managers, and higher transaction limits."
account_types_info,Salary account details,Salary accounts are employer-linked accounts used for salary deposits and may offer reduced fees.
account_types_info,Digital bank account,Digital accounts are online-focused accounts with app-based services and simplified access.
account_types_info,Children's bank account,Children’s accounts encourage early saving and often require guardian support.
account_types_info,Women banking account,Some banks offer women-focused accounts with customized financial benefits.
account_types_info,Can foreigners open all account types?,Foreign nationals may access specific account types depending on residency and compliance requirements.
account_types_info,Bank account options in Sri Lanka,"Sri Lankan banks commonly provide savings, current, fixed deposit, youth, senior, business, and foreign currency accounts."
