intent,question,answer
foreign_currency_account_info,What is a foreign currency account?,"A foreign currency account allows customers to hold, deposit, and transact in foreign currencies such as USD, EUR, or GBP without immediate local currency conversion."
foreign_currency_account_info,Tell me about foreign currency accounts,"Foreign currency accounts help manage international funds, remittances, and foreign income efficiently."
foreign_currency_account_info,How does a foreign currency account work?,These accounts allow customers to maintain balances in selected foreign currencies and perform international transactions subject to regulations.
foreign_currency_account_info,How to open a foreign currency account?,"To open a foreign currency account, provide valid identification, proof of address, KYC verification, and meet bank eligibility requirements."
foreign_currency_account_info,What documents are needed for foreign currency account?,"Banks typically require NIC/passport, proof of address, income source documentation, and regulatory compliance forms."
foreign_currency_account_info,Who can open foreign currency accounts?,"Eligibility may include expatriates, foreign income earners, businesses, or approved local residents depending on regulations."
foreign_currency_account_info,Can residents open foreign currency accounts?,Some banks allow residents to open specific foreign currency accounts subject to central bank regulations.
foreign_currency_account_info,NRFC account details,Non-Resident Foreign Currency accounts are designed for non-residents earning foreign income.
foreign_currency_account_info,RFC account information,Resident Foreign Currency accounts may be available for approved local residents under regulatory guidelines.
foreign_currency_account_info,Benefits of foreign currency accounts,"These accounts reduce exchange conversion costs, simplify international payments, and protect against currency fluctuations."
foreign_currency_account_info,Which currencies are supported?,"Supported currencies depend on the bank but often include USD, EUR, GBP, AUD, and other major currencies."
foreign_currency_account_info,Foreign currency account fees,"Fees may include maintenance, transfer, exchange, and compliance-related charges."
foreign_currency_account_info,Can I get debit card for foreign currency account?,Some banks offer debit or ATM cards linked to foreign currency accounts.
foreign_currency_account_info,Online banking for foreign currency accounts,Many banks provide digital banking for monitoring and managing foreign currency balances.
foreign_currency_account_info,How to close foreign currency account?,"Closure requires following bank procedures, clearing balances, and meeting compliance obligations."
