intent,question,answer
youth_student_account_info,What is a youth account?,"A youth account is a bank account designed for children, teenagers, or young adults to encourage saving habits with age-appropriate features and guardian oversight where required."
youth_student_account_info,What is a student account?,"A student account is a banking product tailored for students, often offering low fees, reduced balance requirements, and digital banking features."
youth_student_account_info,Tell me about youth savings accounts,Youth savings accounts help young customers save securely while learning financial management.
youth_student_account_info,How to open a student bank account?,"To open a student account, provide valid student identification, NIC/passport, proof of address, and complete KYC verification."
youth_student_account_info,What documents are needed for student account opening?,"Banks may require student ID, NIC/passport, proof of address, guardian details if underage, and initial deposit."
youth_student_account_info,Can minors open youth accounts?,"Yes, minors can usually open youth accounts with parent or guardian approval."
youth_student_account_info,Minimum age for youth account,"Age eligibility varies by bank, but youth accounts are commonly available for minors and young adults."
youth_student_account_info,Do student accounts need minimum balance?,Many student accounts have low or zero minimum balance requirements.
youth_student_account_info,Benefits of student accounts,"Student accounts often provide reduced fees, ATM access, online banking, and budgeting support."
youth_student_account_info,Can students get debit cards?,"Yes, many student accounts include debit or ATM card access, subject to bank policy."
youth_student_account_info,Online banking for student accounts,Most banks offer online and mobile banking services for student account holders.
youth_student_account_info,Youth account interest rates,Interest rates depend on bank policies and account structure.
youth_student_account_info,Joint youth account with parents,Some youth accounts allow parental oversight or joint management.
youth_student_account_info,Can foreign students open bank accounts?,"Many banks allow foreign students to open accounts with visa, passport, and student documentation."
youth_student_account_info,How to close student account?,Student accounts can usually be closed through standard bank account closure procedures.
