intent,question,answer
unsupported_request,Can you book my flight?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Order me pizza,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,What's the weather today?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Who won the football match?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Can you hack a bank account?,"I cannot assist with illegal, harmful, or unauthorized activities."
unsupported_request,Predict Bitcoin prices,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Write my school essay,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Translate this sentence,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Play music for me,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Book a hotel room,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Reserve a taxi,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Can you design my logo?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Solve my math homework,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Generate a dating profile,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,How do I cook pasta?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Buy me concert tickets,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Track my parcel,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Can you diagnose my illness?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,What movie should I watch?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Tell me celebrity gossip,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Open my social media account,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Delete my email inbox,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Can you code a game?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,How to mine crypto?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Find me a job,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Create a passport,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Apply for visa,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Edit my photo,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Teach me guitar,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Predict lottery numbers,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Bypass Netflix payment,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Hack WiFi password,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Can you gamble for me?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Buy stocks automatically,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Write malware,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Steal passwords,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Deepfake a politician,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Make fake ID,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Sell my car,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Find romantic partner,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Book doctor appointment,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Control smart home,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Launch rocket,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Build bomb,I cannot assist with dangerous or harmful activities.
unsupported_request,Access government secrets,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Pirate movies,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Download cracked software,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Cheat in exam,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Generate adult content,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Find drugs online,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Buy weapons,I cannot assist with restricted or harmful requests.
unsupported_request,Track someone secretly,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Erase police records,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Fake bank statement,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Forge signature,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Spy on phone,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Make ransomware,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,DDoS a website,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Steal credit card,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Counterfeit money,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Book restaurant,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Find gym trainer,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Teach yoga,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Plan wedding,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Create resume,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Optimize LinkedIn,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Design house,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Interior decoration tips,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Pet care advice,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Dog training help,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Buy groceries,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Meal planning,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Car repair guide,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Fix plumbing,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Electrical wiring help,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Gaming cheats,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Stream movies free,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Sports betting tips,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Astrology reading,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Tarot prediction,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Write song lyrics,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Generate poetry,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Social media followers hack,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Instagram password recovery,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Facebook account hack,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Unlock iPhone illegally,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Jailbreak banking app,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Bypass taxes,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Hide income,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Money laundering advice,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Offshore shell company setup,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Tax evasion methods,I cannot assist with illegal financial activities.
unsupported_request,Create fake reviews,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Manipulate elections,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Spread misinformation,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Blackmail someone,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Make virus,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Exploit software vulnerability,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Sell stolen data,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Identity theft methods,I cannot assist with harmful or illegal activities.
unsupported_request,Can you be my therapist?,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Teach meditation,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Language learning help,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,University admissions advice,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Scholarship applications,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
