intent,question,answer
joint_account_info,What is a joint account?,"A joint account is a bank account shared by two or more individuals, allowing all approved account holders to deposit, withdraw, and manage funds according to bank policies."
joint_account_info,Tell me about joint accounts,"Joint accounts allow multiple account holders to share access to funds for personal, family, or business purposes."
joint_account_info,How does a joint account work?,"A joint account enables multiple authorized holders to manage the account, depending on the account mandate such as either-to-sign or jointly operated."
joint_account_info,How to open a joint account?,"To open a joint account, all applicants must provide valid identification, proof of address, complete KYC verification, and submit the required application forms together."
joint_account_info,What documents are required for joint account opening?,"Banks usually require NIC/passport, proof of address, photographs, and signed applications from all account holders."
joint_account_info,Can I open a joint savings account?,"Yes, many banks offer joint savings accounts for couples, families, or partners."
joint_account_info,Can I open a joint current account?,"Yes, banks commonly provide joint current accounts for personal or business use."
joint_account_info,Who can open a joint account?,"Spouses, family members, business partners, or trusted individuals can usually open joint accounts together."
joint_account_info,Minimum balance for joint account,Minimum balance depends on the bank and chosen account type.
joint_account_info,Joint account opening deposit,Initial deposit requirements vary by bank and account category.
joint_account_info,Types of joint account mandates,"Banks may offer either-to-sign, jointly-to-sign, survivor, or custom operational mandates."
joint_account_info,Can one holder withdraw from joint account?,Withdrawal rights depend on the operating instructions agreed during account opening.
joint_account_info,Can I add someone to my existing account?,"Some banks may allow account conversion or mandate changes, subject to approval."
joint_account_info,Can I remove a joint account holder?,Removing a holder typically requires consent from all parties and updated legal documentation.
joint_account_info,What happens if one joint holder dies?,"Account handling depends on mandate type, survivor clauses, and applicable legal procedures."
joint_account_info,Joint account online banking,"Many banks provide online and mobile banking access for joint account holders, subject to permissions."
joint_account_info,Joint account ATM card,Joint accounts may include individual debit cards for authorized holders.
joint_account_info,Joint account cheque book,Joint current accounts often include cheque book facilities.
joint_account_info,Joint account fees,"Fees vary by bank, account type, and included services."
joint_account_info,Can foreigners open joint accounts?,"Some banks allow non-resident or foreign joint account holders, subject to compliance rules."
joint_account_info,Joint account for married couples,"Many couples use joint accounts for shared expenses, savings, and household management."
joint_account_info,Joint business account,Business partners may use joint accounts for company transactions and operations.
joint_account_info,How to close a joint account?,"To close a joint account, all authorized holders typically need to approve closure and complete bank procedures."
joint_account_info,Joint account security,"Banks protect joint accounts through KYC, transaction monitoring, and secure authentication measures."
joint_account_info,Joint account benefits,"Joint accounts simplify shared financial management, improve transparency, and streamline common expenses."
